step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
1520,0.619,1.331,0.538,0.845,0.0192,0.0953,0.4920
1530,-0.024,1.379,0.343,0.902,0.0093,0.0928,0.8497
1540,-0.148,1.280,0.083,0.858,0.0314,0.0845,0.5744
1550,0.022,1.468,0.045,0.799,0.0162,0.0957,0.5465
1560,0.888,1.051,0.567,0.759,0.0108,0.0906,0.3391
1570,-0.149,1.279,0.073,0.724,0.0210,0.0778,0.7640
1580,-0.354,1.222,-0.085,0.892,0.0105,0.0959,0.8601
1590,0.670,1.211,0.527,0.848,0.0185,0.0903,0.4801
1600,-0.145,1.290,0.216,0.810,0.0144,0.0836,0.6869
1610,0.420,1.234,0.275,0.747,0.0075,0.0827,0.4874
1620,-0.033,1.248,0.008,0.673,0.0224,0.0814,0.4665
1630,0.449,1.364,0.235,0.990,0.0135,0.0838,0.4947
1640,-0.209,1.263,-0.044,0.702,0.0270,0.0816,0.4300
1650,0.207,1.381,0.375,0.832,0.0251,0.0921,0.3873
1660,0.012,1.388,0.152,0.864,0.0648,0.0858,0.5231
1670,0.018,1.244,-0.007,0.602,0.0578,0.0981,0.6552
1680,-0.171,1.342,-0.104,0.690,0.0048,0.0892,0.6712
1690,-0.148,1.484,0.166,0.878,0.0515,0.0808,0.5748
1700,0.392,1.281,0.274,0.771,0.0118,0.0863,0.4207
1710,-0.004,1.434,0.386,1.050,0.0178,0.0821,0.3509
1720,0.731,1.108,0.586,0.739,0.0353,0.0874,0.4522
1730,-0.339,1.238,0.382,0.825,0.0044,0.0829,0.9864
1740,0.267,1.343,0.250,0.846,0.0169,0.0875,0.4497
1750,0.991,1.098,0.746,0.966,0.0092,0.0860,0.5452
1760,0.023,1.376,0.176,0.784,0.0089,0.0817,0.9485
1770,0.954,1.034,0.623,0.787,0.0516,0.0904,0.3464
1780,-0.058,1.377,-0.138,0.806,0.0080,0.0903,0.4897
1790,0.717,1.255,0.686,1.120,0.0393,0.0876,0.1507
1800,0.807,1.084,0.283,0.801,0.0549,0.0819,0.6702
1810,-0.672,1.075,-0.122,0.722,0.1140,0.0765,0.7651
1820,-0.046,1.227,0.056,0.652,0.0181,0.0778,0.6885
1830,0.089,1.303,0.235,0.764,0.0279,0.0845,0.4822
1840,0.811,1.124,0.499,0.672,0.0192,0.0741,0.7260
1850,0.259,1.421,0.398,0.987,0.0261,0.0704,0.6816
1860,0.339,1.326,-0.162,0.757,0.0335,0.0806,0.7920
1870,0.129,1.194,0.142,0.729,0.0169,0.0728,0.5475
1880,0.142,1.328,0.163,0.844,0.0170,0.0830,0.6248
1890,-0.309,1.407,-0.001,0.840,0.0063,0.0719,0.7581
1900,0.174,1.195,-0.014,0.618,0.0050,0.0805,0.7525
1910,0.238,1.408,0.330,0.787,0.0394,0.0796,1.0242
1920,-0.132,1.183,-0.310,0.747,0.0042,0.0875,0.5978
1930,0.705,1.127,0.300,0.924,0.0278,0.0834,0.6530
